id,hostname,eventData.name,eventData.description,eventData.sourceId,eventData.url,eventData.startDate,eventData.cancelled,eventData.location.sourceId,eventData.location.url,eventData.location.name,eventData.location.location.name,eventData.location.location.address.country.longName,eventData.location.location.address.city,eventData.location.location.address.postalCode,eventData.location.location.address.street,eventData.location.location.coordinate.lat,eventData.location.location.coordinate.lon,eventData.location.category,eventData.sourceDate,eventData.location.location.address.streetHouseNumber,eventData.location.eventPlaceId,dayofweek,year,month,season,district,supercategory,subcategory,starting_hour,time_of_day
prinz.de/stuttgart/events/241545-prinz-preview-heiter-bis-wolkig-6,prinz.de,PRINZ-Preview: ,"Zum Heulen schön, zum Kreischen lustig: Zwei Freunde haben in Heiter bis wolkig so lange Spaß beim Sex mit Frauen, bis etwas geschieht, das sie zu anderen Menschen macht
Tim und Can sind beste Freunde. Und beste Freunde teilen alles - manchmal auch bescheuerte Ideen. Wie ihre Masche, Frauen ins Bett zu kriegen. Sie geben sich als unheilbar Kranke aus, die nur einen letzten Wunsch haben: Sex. Das funktioniert erstaunlich gut, bis sich Tim in Marie verliebt. Problem: Maries Schwester Edda ist tatsächlich unheilbar krank. Die durchschaut sofort, dass Tim nur simuliert. Doch anstatt ihn auffliegen zu lassen, bietet sie ihm einen Deal an: Wenn er ihr einige Wünsche erfüllt, will sie sein Geheimnis für sich behalten und seinem Glück mit Marie nicht im Weg stehen. Tim willigt ein und erlebt mit der überraschend lebenslustigen Edda eine verrückte Situation nach der anderen. Oder ist es normal, mit einer Ziege nachts in einen Blumenladen einzubrechen? PRINZ präsentiert die bewegende Komödie ""Heiter bis wolkig"" in einer Preview. Vor dem offiziellen Start und zu verbilligten Eintrittspreisen im CinemaxX in deiner Nähe. Nicht verpassen! 
Dabei sein und noch sparen! Mit dem Coupon im PRINZ-Heft bekommst du beim Kauf von zwei Preview-Tickets 2 Euro Rabatt. Dafür einfach den Coupon heraustrennen und am Preview-Abend in einem der teilnehmenden Kinos einlösen.",241545,http://prinz.de/stuttgart/events/241545-prinz-preview-heiter-bis-wolkig-6,2012-09-05 08:00:00,False,11115,http://prinz.de/stuttgart/locations/11115-cinemaxx-im-si-centrum/,CinemaxX (im SI-Centrum),CinemaxX (im SI-Centrum),Germany,Stuttgart,70567,Plieninger Straße 111 ,48.72321053,9.16127506,stadtleben/special-events,,Plieninger Straße 111,416b812b4f56b36ee8c929fe8676a119b9b169031ace39eaa550555ec4fde2e5,2,2012,9,autumn,Sternhäule,stadtleben,special-events,08:00:00,Morning
prinz.de/stuttgart/events/242614-amour,prinz.de,Amour,Beim Jour fixe du Cinéma français wird der mit der Goldenen Palme ausgezeichnete Film Amour gezeigt.,242614,http://prinz.de/stuttgart/events/242614-amour,2012-09-05 07:30:00,False,10837,http://prinz.de/stuttgart/locations/10837-delphi-arthaus/,Delphi Arthaus,Delphi Arthaus,Germany,Stuttgart,70178,Tübinger Straße 6 ,48.7730909,9.17469258,kultur/webtvradio,,Tübinger Straße 6,94dd27c167fa9f0cf6e3b1d85a9a0c3ca727607a2f47cee1e91f638ac73be64f,2,2012,9,autumn,Karlshöhe,kultur,webtvradio,07:30:00,Morning
prinz.de/stuttgart/events/465219-forschergeist-in-kinderschuhen,prinz.de,Forschergeist in Kinderschuhen,"Elternseminar der Stadt Stuttgart. Das Seminar gibt hilfreiche Anregungen und dient dem Austausch über die Herausforderungen der täglichen Erziehungspraxis.

Referentin: Sabine König, Eintritt frei, mit Kinderbetreuung",465219,http://prinz.de/stuttgart/events/465219-forschergeist-in-kinderschuhen,2014-11-05 04:30:00,False,10960,http://prinz.de/stuttgart/locations/10960-merlin/,Merlin,Merlin,Germany,Stuttgart,70178,Augustenstr. 72,48.77013113,9.16133731,familie-kinder,,Augustenstr. 72,af5f9389a46da13b3a685d29b854f215b8844e153512005e4578bc7d3d47c0f6,2,2014,11,autumn,Karlshöhe,familie-kinder,,04:30:00,Night
prinz.de/stuttgart/events/459245-gabor-horwath-trio,prinz.de,Gabor Horwath Trio,Konzert im Rahmen der ungarischen Kulturtage Stuttgart,459245,http://prinz.de/stuttgart/events/459245-gabor-horwath-trio,2014-10-15 08:00:00,False,11596,http://prinz.de/stuttgart/locations/11596-traditional-jazz-hall/,Traditional Jazz Hall,Traditional Jazz Hall,Germany,Stuttgart,70178,Marienstr. 3b,48.773267,9.17319,konzert/jazzchanson,,Marienstr. 3b,32e590010778f4e712dda53609b0b14c0a198515951ddd4205b70b312d32cdb9,2,2014,10,autumn,Karlshöhe,konzert,jazzchanson,08:00:00,Morning
prinz.de/stuttgart/events/459255-pianette-drums-feat-saxonier,prinz.de,Pianette & Drums feat. Saxonier,"Boogie-Woogie, Ragtime, Blues und Jazz Class",459255,http://prinz.de/stuttgart/events/459255-pianette-drums-feat-saxonier,2014-10-22 08:00:00,False,11596,http://prinz.de/stuttgart/locations/11596-traditional-jazz-hall/,Traditional Jazz Hall,Traditional Jazz Hall,Germany,Stuttgart,70178,Marienstr. 3b,48.773267,9.17319,konzert/jazzchanson,,Marienstr. 3b,32e590010778f4e712dda53609b0b14c0a198515951ddd4205b70b312d32cdb9,2,2014,10,autumn,Karlshöhe,konzert,jazzchanson,08:00:00,Morning
prinz.de/stuttgart/events/469156-mental-bend-dreampop-live,prinz.de,Mental Bend Dreampop Live,"Dreampop
Sissip: Gesang / Bass / Synthesizer / Loopstation
Hendrik Havekost: Beats / Samples / Live-Electronics
Die junge Band Mental Bend experimentiert in ihrem eigenen kleinen Kosmos mit Downtempo, Electropop und VJs und tut gut wie die ersten Sonnenstrahlen des Jahres. Stimme, Bass und Klangflächen werden in Loops und Beats eingebettet und verweben sich zu Songs die mal zerbrechlich, mal unverwüstlich erscheinen.",469156,http://prinz.de/stuttgart/events/469156-mental-bend-dreampop-live,2014-11-26 08:00:00,False,14864,http://prinz.de/stuttgart/locations/14864-sideways/,Bar &amp; Bistro Sideways,Bar &amp; Bistro Sideways,Germany,Stuttgart,70372,Brählesgasse 14,48.80511,9.213,konzert/pop,,Brählesgasse 14,4899c74168ebd3fbf614db17d0eb88ec1d009f954c3f250bd5253338ce33ab8a,2,2014,11,autumn,Bad Cannstatt,konzert,pop,08:00:00,Morning
prinz.de/stuttgart/events/457884-faran-dole-de-chansons-de-poemes,prinz.de,Faran Dole de Chansons de Poémes,"Poésie und Chanson in der Schule? In der Waldorfschule hat derFranzösischunterricht auch eine künstlerische Ausrichtung: Aus dem Unterricht der 2.-12.Klasse stellen die Schüler Chansons, Gedichte und kleine Rezitationen vor. Neben der Freude am Singen und Sprechen steht ebenso die künstlerisch-inhaltliche Interpretation. Eine Begegnung mit Frankreich in der Schule für jung und alt! Leitung: Catrine Ronner, Siegmund Baldszun",457884,http://prinz.de/stuttgart/events/457884-faran-dole-de-chansons-de-poemes,2014-10-22 06:00:00,False,12818,http://prinz.de/stuttgart/locations/12818-freie-waldorfschule-uhlandshoehe/,Freie Waldorfschule Uhlandshöhe,Freie Waldorfschule Uhlandshöhe,Germany,Stuttgart,70188,Haußmannstr. 44,48.78216089,9.19236179,stadtleben/freizeit,,Haußmannstr. 44,d73acaf0dd0055fe6547bb5f07ee91aef62146fc78a2030a0a5c5ccb8501c4fd,2,2014,10,autumn,Uhlandshöhe,stadtleben,freizeit,06:00:00,Morning
prinz.de/stuttgart/events/478964-roll-agents-the-elvis-xperience-6,prinz.de,Roll Agents – The Elvis Xperience,"Elvis Presley zu imitieren ist ein Ding der Unmöglichkeit. Seine Songs zu interpretieren: zumindest sehr schwierig. Außer man gehört zu den Roll Agents. Dann ist man Teil von „The Elvis Xperience“ – einer bombastischen Las-Vegas-Show, die das Publikum begeistert und die Kritiker schwärmen lässt. Die Roll Agents nehmen die Zuschauer mit auf eine über zweistündige Reise in die Siebziger. Mit einem eigenen Stil, der zeitgemäß ist – aber trotzdem das Gefühl der großen Elvis-Auftritte aufleben lässt. Zehn Musiker und Kult-Comedian Michael Gaedt (Kleine Tierschau & Soko Stuttgart) als Conférencier bieten eine fantastische Live-Performance. Sänger Nils Strassburg aus Ditzingen wurde von der Elvis Presley Gesellschaft und Turner (Time Warner) zum besten Elvis-Interpreten Deutschlands gekürt.",478964,http://prinz.de/stuttgart/events/478964-roll-agents-the-elvis-xperience-6,2015-02-11 08:00:00,False,10408,http://prinz.de/stuttgart/locations/10408-theaterhaus/,Theaterhaus,Theaterhaus,Germany,Stuttgart,70469,Siemensstr. 11,48.810748,9.179675,kultur/buehne,,Siemensstr. 11,69cafd8e560c0ceae2f468caf07da294dc6acc1b981d8f0b07afc054b09a1894,2,2015,2,winter,Feuerbach-Ost,kultur,buehne,08:00:00,Morning
prinz.de/stuttgart/events/470982-rosenberg-oder-tal-ladies-night-7,prinz.de,Rosenberg oder Tal - Ladies Night,"Diese Rosenberg oder Tal-Party ist wieder einmal dem schönen Geschlecht gewidmet: Ladies, die vor 22 Uhr eintreffen, erhalten freien Eintritt sowie einen Begrüßungsdrink.
Männer – wer sich so viele schöne Frauen entgehen lässt, ist selber schuld – also nichts wie hin zum Killesberg! Und denkt daran: wer früher kommt, feiert länger mit den Ladies.
DJ Chris David ist für Euch im Großen Club am Start und sorgt mit seinen Rosenberg oder Tal-Sounds für den richtigen Soundtrack zum Abend.
Auch auf die Preise könnt Ihr Euch freuen, denn es gilt:
alle Getränke für die Hälfte (außer Cocktails und Jahrgangschampagner).

GROSSER CLUB: DJ CHRIS DAVID

Eintritt:
Ab 20 Uhr: frei & 8,- € MV 
Ab 22 Uhr: 8,- €
Ladies bis 22 Uhr frei!",470982,http://prinz.de/stuttgart/events/470982-rosenberg-oder-tal-ladies-night-7,2014-12-10 08:00:00,False,12212,http://prinz.de/stuttgart/locations/12212-perkins-park/,Perkins Park,Perkins Park,Germany,Stuttgart,70191,Stresemannstr. 39,48.80476138,9.17459728,party/popcharts,,Stresemannstr. 39,717a666b87b1a9f9aaa4ff2f0f621397d2fadb91d3867714b12cc9b821a865e5,2,2014,12,winter,Am Rosensteinpark,party,popcharts,08:00:00,Morning
prinz.de/stuttgart/events/470985-rosenberg-oder-tal-bingo,prinz.de,Rosenberg oder Tal - Bingo,"BINGO! BINGO! BINGO! – oder doch lieber feiern? Wir sagen, BEIDES!!
Der Perkins Park macht’s, mit unserer allseits beliebten Rosenberg oder Tal-Bingo- Night möglich.
Wer mitspielen will, sollte bis spätestens 22 Uhr seine Spielscheine sichern. Nachdem unsere reizende Bingo-Fee an DJ Chris Davids Seite die Gewinnzahlen gezogen hat und die glücklichen Gewinner feststehen, beginnt der musikalische Teil des Abends: Rosenberg-Sounds vom Allerfeinsten! Viel Glück und jede Menge Spaß wünscht das Perkins Park-Team!
Übrigens: natürlich gibt es auch an diesem Mittwoch alle Getränke zum halben Preis (außer Jahrgangschampagner und Cocktails).

GROSSER CLUB: DJ CHRIS DAVID

Eintritt:
Ab 20 Uhr: frei & 8,- € MV 
Ab 22 Uhr: 8,- €",470985,http://prinz.de/stuttgart/events/470985-rosenberg-oder-tal-bingo,2014-12-17 08:00:00,False,12212,http://prinz.de/stuttgart/locations/12212-perkins-park/,Perkins Park,Perkins Park,Germany,Stuttgart,70191,Stresemannstr. 39,48.80476138,9.17459728,stadtleben/special-events,,Stresemannstr. 39,717a666b87b1a9f9aaa4ff2f0f621397d2fadb91d3867714b12cc9b821a865e5,2,2014,12,winter,Am Rosensteinpark,stadtleben,special-events,08:00:00,Morning
